Pescina;AQ;G492
Pescocostanzo;AQ;G493
Pesco Sannita;BN;G494
Pescolanciano;IS;G495
Pescopagano;PZ;G496
Pescopennataro;IS;G497
Pescorocchiano;RI;G498
Pescosansonesco;PE;G499
Pescosolido;FR;G500
Pessano con Bornago;MI;G502
Pessina Cremonese;CR;G504
Pessinetto;TO;G505
Petacciato;CB;G506
Turania;RI;G507
Petilia Policastro;KR;G508
Petina;SA;G509
Petralia Soprana;PA;G510
Petralia Sottana;PA;G511
Petrella Tifernina;CB;G512
Petrella Salto;RI;G513
Petriano;PU;G514
Petriolo;MC;G515
Petritoli;FM;G516
Petrizzi;CZ;G517
Petronà;CZ;G518
Petruro Irpino;AV;G519
Pettenasco;NO;G520
Pettinengo;BI;G521
Pettineo;ME;G522
Pettoranello del Molise;IS;G523
Pettorano sul Gizio;AQ;G524
Pettorazza Grimani;RO;G525
Peveragno;CN;G526
Pezzana;VC;G528
Pezzaze;BS;G529
Pezzolo Valle Uzzone;CN;G532
Piacenza d'Adige;PD;G534
Piacenza;PC;G535
Piaggine;SA;G538
Valle dell'Angelo;SA;G540
Piana di Monte Verna;CE;G541
Piana Crixia;SV;G542
Piana degli Albanesi;PA;G543
Pontboset;AO;G545
Pian Camuno;BS;G546
Piancastagnaio;SI;G547
Piancogno;BS;G549
Piandimeleto;PU;G551
Piane Crati;CS;G553
Pianella;PE;G555
Pianello del Lario;CO;G556
Pianello Val Tidone;PC;G557
Pianengo;CR;G558
Pianezza;TO;G559
Pianezze;VI;G560
Pianfei;CN;G561
Pianico;BG;G564
Pianiga;VE;G565
San Benedetto Val di Sambro;BO;G566
Piano di Sorrento;NA;G568
Pianoro;BO;G570
Piansano;VT;G571
Piantedo;SO;G572
Piario;BG;G574
Piasco;CN;G575
Piateda;SO;G576
Piatto;BI;G577
Piazza Brembana;BG;G579
Piazza Armerina;EN;G580
Piazza al Serchio;LU;G582
Piazzatorre;BG;G583
Piazzola sul Brenta;PD;G587
Piazzolo;BG;G588
Picciano;PE;G589
Picerno;PZ;G590
Picinisco;FR;G591
Pico;FR;G592
Piea;AT;G593
Piedicavallo;BI;G594
Piedimonte Matese;CE;G596
Piedimonte Etneo;CT;G597
Piedimonte San Germano;FR;G598
Piedimulera;VB;G600
Piegaro;PG;G601
Pienza;SI;G602
Pieranica;CR;G603
Pietramontecorvino;FG;G604
Pietra Ligure;SV;G605
Pietrabbondante;IS;G606
Pietrabruna;IM;G607
Pietracamela;TE;G608
Pietracatella;CB;G609
Pietracupa;CB;G610
Pietradefusi;AV;G611
Pietra de' Giorgi;PV;G612
Pietraferrazzana;CH;G613
Satriano di Lucania;PZ;G614
Pietrafitta;CS;G615
Pietragalla;PZ;G616
Pietralunga;PG;G618
Pietra Marazzi;AL;G619
Pietramelara;CE;G620
Pietranico;PE;G621
Pietrapaola;CS;G622
Pietrapertosa;PZ;G623
Pietraperzia;EN;G624
Pietraporzio;CN;G625
Pietraroja;BN;G626
Pietrarubbia;PU;G627
Pietrasanta;LU;G628
Pietrastornina;AV;G629
Pietravairano;CE;G630
Pietrelcina;BN;G631
Pieve di Teco;IM;G632
Pieve Emanuele;MI;G634
Pieve Albignola;PV;G635
Pieve a Nievole;PT;G636
Pieve del Cairo;PV;G639
Pieve di Cadore;BL;G642
Pieve di Cento;BO;G643
Pieve di Soligo;TV;G645
Pieve Ligure;GE;G646
Pieve d'Olmi;CR;G647
Pieve Fosciana;LU;G648
Pievepelago;MO;G649
Pieve Porto Morone;PV;G650
Pieve San Giacomo;CR;G651
