Arconate;MI;A375
Arcore;MB;A376
Arcugnano;VI;A377
Ardara;SS;A379
Ardauli;OR;A380
Ardenno;SO;A382
Ardesio;BG;A383
Ardore;RC;A385
Arena;VV;A386
Arena Po;PV;A387
Arenzano;GE;A388
Arese;MI;A389
Arezzo;AR;A390
Argegno;CO;A391
Argelato;BO;A392
Argenta;FE;A393
Argentera;CN;A394
Arguello;CN;A396
Argusto;CZ;A397
Ari;CH;A398
Ariano Irpino;AV;A399
Ariano nel Polesine;RO;A400
Ariccia;RM;A401
Arielli;CH;A402
Arienzo;CE;A403
Arignano;TO;A405
Aritzo;NU;A407
Arizzano;VB;A409
Arlena di Castro;VT;A412
Arluno;MI;A413
Armeno;NO;A414
Armento;PZ;A415
Armo;IM;A418
Armungia;SU;A419
Arnara;FR;A421
Arnasco;SV;A422
Arnad;AO;A424
Arnesano;LE;A425
Arola;VB;A427
Arona;NO;A429
Arosio;CO;A430
Arpaia;BN;A431
Arpaise;BN;A432
Arpino;FR;A433
Arquà Petrarca;PD;A434
Arquà Polesine;RO;A435
Arquata Scrivia;AL;A436
Arquata del Tronto;AP;A437
Arre;PD;A438
Arrone;TR;A439
Arzago d'Adda;BG;A440
Arsago Seprio;VA;A441
Arsiè;BL;A443
Arsiero;VI;A444
Arsita;TE;A445
Arsoli;RM;A446
Arta Terme;UD;A447
Artegna;UD;A448
Artena;RM;A449
Artogne;BS;A451
Arvier;AO;A452
Arzachena;SS;A453
Arzana;NU;A454
Arzano;NA;A455
Arzergrande;PD;A458
Arzignano;VI;A459
Ascea;SA;A460
Asciano;SI;A461
Ascoli Piceno;AP;A462
Ascoli Satriano;FG;A463
Ascrea;RI;A464
Asiago;VI;A465
Asigliano Vercellese;VC;A466
Asigliano Veneto;VI;A467
Sinalunga;SI;A468
Asola;MN;A470
Asolo;TV;A471
Casperia;RI;A472
Assago;MI;A473
Assemini;CA;A474
Assisi;PG;A475
Asso;CO;A476
Assolo;OR;A477
Assoro;EN;A478
Asti;AT;A479
Asuni;OR;A480
Ateleta;AQ;A481
Atella;PZ;A482
Atena Lucana;SA;A484
Atessa;CH;A485
Atina;FR;A486
Atrani;SA;A487
Atri;TE;A488
Atripalda;AV;A489
Attigliano;TR;A490
Attimis;UD;A491
Atzara;NU;A492
Augusta;SR;A494
Auletta;SA;A495
Aulla;MS;A496
Aurano;VB;A497
Aurigo;IM;A499
Auronzo di Cadore;BL;A501
Ausonia;FR;A502
Austis;NU;A503
Avegno;GE;A506
Avelengo/Hafling;BZ;A507
Avella;AV;A508
Avellino;AV;A509
Averara;BG;A511
Aversa;CE;A512
Avetrana;TA;A514
Avezzano;AQ;A515
Aviano;PN;A516
Aviatico;BG;A517
Avigliana;TO;A518
Avigliano;PZ;A519
Avio;TN;A520
Avise;AO;A521
Avola;SR;A522
Avolasca;AL;A523
Azeglio;TO;A525
Azzanello;CR;A526
Azzano d'Asti;AT;A527
Azzano San Paolo;BG;A528
Azzano Mella;BS;A529
Azzano Decimo;PN;A530
Azzate;VA;A531
Azzio;VA;A532
Azzone;BG;A533
Baceno;VB;A534
Bacoli;NA;A535
Badalucco;IM;A536
Badia/Abtei;BZ;A537
Badia Pavese;PV;A538
Badia Polesine;RO;A539
Badia Calavena;VR;A540
Badia Tedalda;AR;A541
Badolato;CZ;A542
Bagaladi;RC;A544
Bagheria;PA;A546
Bagnacavallo;RA;A547
Bagnaria;PV;A550
